,Name,Networth,Country,Source,Rank,Age,Industry
0,Elon Musk ,$219 B,United States,"Tesla, SpaceX",1,50,Automotive 
1,Jeff Bezos ,$171 B,United States,Amazon,2,58,Technology 
2,Bernard Arnault & family ,$158 B,France,LVMH,3,73,Fashion & Retail 
3,Bill Gates ,$129 B,United States,Microsoft,4,66,Technology 
4,Warren Buffett ,$118 B,United States,Berkshire Hathaway,5,91,Finance & Investments 
5,Larry Page ,$111 B,United States,Google,6,49,Technology 
6,Sergey Brin ,$107 B,United States,Google,7,48,Technology 
7,Larry Ellison ,$106 B,United States,software,8,77,Technology 
8,Steve Ballmer ,$91.4 B,United States,Microsoft,9,66,Technology 
9,Mukesh Ambani ,$90.7 B,India,diversified,10,64,Diversified 
10,Gautam Adani & family ,$90 B,India,"infrastructure, commodities",11,59,Diversified 
11,Michael Bloomberg ,$82 B,United States,Bloomberg LP,12,80,Media & Entertainment 
12,Carlos Slim Helu & family ,$81.2 B,Mexico,telecom,13,82,Telecom 
13,Francoise Bettencourt Meyers & family ,$74.8 B,France,L'Oréal,14,68,Fashion & Retail 
14,Mark Zuckerberg ,$67.3 B,United States,Facebook,15,37,Technology 
15,Jim Walton ,$66.2 B,United States,Walmart,16,73,Fashion & Retail 
16,Zhong Shanshan ,$65.7 B,China,"beverages, pharmaceuticals",17,67,Food & Beverage 
17,Alice Walton ,$65.3 B,United States,Walmart,18,72,Fashion & Retail 
18,Rob Walton ,$65 B,United States,Walmart,19,77,Fashion & Retail 
19,Changpeng Zhao ,$65 B,Canada,cryptocurrency exchange,19,44,Finance & Investments 
20,Charles Koch ,$60 B,United States,Koch Industries,21,86,Diversified 
21,Julia Koch & family ,$60 B,United States,Koch Industries,21,59,Diversified 
22,Amancio Ortega ,$59.6 B,Spain,Zara,23,86,Fashion & Retail 
23,Michael Dell ,$55.1 B,United States,Dell computers,24,57,Technology 
24,Zhang Yiming ,$50 B,China,TikTok,25,38,Media & Entertainment 
25,David Thomson & family ,$49.2 B,Canada,media,26,64,Media & Entertainment 
26,Phil Knight & family ,$47.3 B,United States,Nike,27,84,Fashion & Retail 
27,Dieter Schwarz ,$47.1 B,Germany,retail,28,82,Fashion & Retail 
28,Robin Zeng ,$44.8 B,Hong Kong,batteries,29,53,Automotive 
29,MacKenzie Scott ,$43.6 B,United States,Amazon,30,51,Technology 
30,Rodolphe Saadé & family ,$41.4 B,France,shipping,31,52,Logistics 
31,François Pinault & family ,$40.4 B,France,luxury goods,32,85,Fashion & Retail 
32,Klaus-Michael Kuehne ,$37.3 B,Germany,shipping,33,84,Logistics 
33,Ma Huateng ,$37.2 B,China,internet media,34,50,Technology 
34,Beate Heister & Karl Albrecht Jr. & family ,$36.8 B,Germany,supermarkets,35,64,Fashion & Retail 
35,Giovanni Ferrero ,$36.2 B,Italy,"Nutella, chocolates",36,57,Food & Beverage 
36,Li Ka-shing ,$34.8 B,Hong Kong,diversified,37,93,Diversified 
37,Stephen Schwarzman ,$34.8 B,United States,investments,37,75,Finance & Investments 
38,Lee Shau Kee ,$32.6 B,Hong Kong,real estate,39,94,Real Estate 
39,Len Blavatnik ,$32.5 B,United States,"music, chemicals",40,64,Diversified 
40,Jacqueline Mars ,$31.7 B,United States,"candy, pet food",41,82,Food & Beverage 
41,John Mars ,$31.7 B,United States,"candy, pet food",41,86,Food & Beverage 
42,Alain Wertheimer ,$31.2 B,France,Chanel,43,73,Fashion & Retail 
43,Gerard Wertheimer ,$31.2 B,France,Chanel,43,71,Fashion & Retail 
44,German Larrea Mota Velasco & family ,$30.8 B,Mexico,mining,45,68,Metals & Mining 
45,Gina Rinehart ,$30.2 B,Australia,mining,46,68,Metals & Mining 
46,Shiv Nadar ,$28.7 B,India,software services,47,76,Technology 
47,Jim Simons ,$28.6 B,United States,hedge funds,48,83,Finance & Investments 
48,He Xiangjian ,$28.3 B,China,home appliances,49,79,Manufacturing 
49,Miriam Adelson ,$27.5 B,United States,casinos,50,76,Gambling & Casinos 
50,Dietrich Mateschitz ,$27.4 B,Austria,Red Bull,51,77,Food & Beverage 
51,Leonardo Del Vecchio & family ,$27.3 B,Italy,eyeglasses,52,86,Fashion & Retail 
52,Ken Griffin ,$27.2 B,United States,hedge funds,53,53,Finance & Investments 
53,Tadashi Yanai & family ,$26.1 B,Japan,fashion retail,54,73,Fashion & Retail 
54,William Lei Ding ,$25.2 B,China,online games,55,50,Technology 
55,Susanne Klatten ,$24.3 B,Germany,"BMW, pharmaceuticals",56,59,Automotive 
56,Cyrus Poonawalla ,$24.3 B,India,vaccines,56,80,Healthcare 
57,Wang Wei ,$24.3 B,China,package delivery,56,51,Service 
58,Qin Yinglin ,$24.1 B,China,pig breeding,59,56,Food & Beverage 
59,Sam Bankman-Fried ,$24 B,United States,cryptocurrency exchange,60,30,Finance & Investments 
60,Takemitsu Takizaki ,$23.9 B,Japan,sensors,61,76,Manufacturing 
61,Li Shufu ,$23.7 B,China,automobiles,62,58,Automotive 
62,Emmanuel Besnier ,$23.5 B,France,cheese,63,51,Food & Beverage 
